,County,AWS,Representative_Non-Irrigated_Yield,cec7_l,ksat_l,awc_l,ph1to1h2o_l,ec_l,ec_r,ec_h,"soil_type_Coarse-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Coarse-loamy, mixed, superactive, mesic Mollic Hapludalfs","soil_type_Euic, mesic Typic Haplosaprists","soil_type_Fine, illitic, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aquultic Hapludalfs","soil_type_Fine, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Argiudolls","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, superactive, mesic Aquic Argiudolls","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Fragiudalfs","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-silty, mixed, active, mesic Ultic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Typic Argiaquolls","soil_type_Fine-silty, mixed, superactive, mesic Typic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","soil_type_Loamy, mixed, active, mesic Arenic Hapludalfs","soil_type_Mixed, mesic Aquic Udipsamments","soil_type_Mixed, mesic Typic Udipsamments","soil_type_Sandy, mixed, mesic Typic Endoaquolls",Drainage_Somewhat poorly drained,Drainage_Very poorly drained,Drainage_Well drained,texture_primary_Loam,texture_primary_Loamy sand,texture_primary_Sand,texture_primary_Sandy loam,texture_primary_Silt loam,texture_primary_Silty clay loam,texture_secondary_L,texture_secondary_LS,texture_secondary_S,texture_secondary_SICL,texture_secondary_SIL,rvindicator_tex_Yes,RoadwayRelevanceSoilGrade_A-4,RoadwayRelevanceSoilGrade_A-6,HumanErosion_Sheet erosion,HumanErosion_Wind erosion,MoisterClass_Udic,Drainage_class_Somewhat poorly drained,Drainage_class_Very poorly drained,Drainage_class_Well drained,Value
0,RANDOLPH,0.6164497129771928,-0.1792360587532065,0.530310426810322,-0.2854352252717304,-1.4787448893400696,0.2705000737292168,0.0,0.0,1.1788315753116774,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,157.1
1,MIAMI,-0.5410564463016915,-0.0035566746206846,0.7727569243550939,0.1065531227695006,-1.0207870499812937,0.2579729090938878,0.0,0.2822726723825582,0.5429597027295852,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,160.56842105263158
2,TIPPECANOE,0.1766650972032641,-0.1019391569924356,-0.351358803439843,1.7388148634338392,-0.929979315212724,0.165921062715382,0.0,0.0,-0.887847660077276,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,173.91
3,UNION,1.4558164564156535,-0.0097777891862757,0.0996387900914876,0.0114122011153277,0.1516990382792137,0.1945720005979967,0.0,0.0,0.6015536619537467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,173.16190476190476
4,TIPTON,2.5882977538923333,0.1694179951677226,-0.0057116227754164,-0.0114122011153277,-0.6707123737623296,0.2906023944023063,0.0,0.0,1.168150133404236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,183.22857142857143
5,MONROE,0.4847849925737971,2.631985460450815,-0.3589678341731332,-0.6607866777898366,1.3876807302678382,-1.1431991333911895,0.0,0.0,-1.2946733385376423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,146.9952380952381
6,PUTNAM,0.9762971824976814,0.7345357102197981,-0.1736444579916155,-0.0186117929876368,0.1743476121669346,-0.139121450537609,0.0,0.0,1.2513585658632047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,165.465
7,VIGO,-1.0033910138904611,0.5721168119643902,-0.1834441409014863,0.2065518285064193,0.9860706713601292,-0.2575733834844427,0.0,0.2727803170281008,0.7852853019717194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,156.2736842105263
8,WABASH,-0.1258424172956857,-0.1398787726975052,0.9575170652884608,0.0362641366691688,-0.9839008756888914,0.2311501230310602,0.0,0.0181532248670025,0.6713625689215198,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,163.78
9,STEUBEN,-1.1144747247840716,-0.1882738265615461,1.318125599433378,0.4988526050638893,-0.5640805589313748,0.1180404889054634,0.0,1.568486822911601,0.6283811684552505,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,140.0611111111111
