,Year,County,DP01_4,DP01_5,DP01_6,DP01_7,DP01_8,DP01_9,DP01_10,DP10_4,DP10_5,DP10_6,DP10_7,DP10_8,DP10_9,DP10_10,DT00_4,DT00_5,DT00_6,DT00_7,DT00_8,DT00_9,DT00_10,DT32_4,DT32_5,DT32_6,DT32_7,DT32_8,DT32_9,DT32_10,DX32_4,DX32_5,DX32_6,DX32_7,DX32_8,DX32_9,DX32_10,DX90_4,DX90_5,DX90_6,DX90_7,DX90_8,DX90_9,DX90_10,EMSD_4,EMSD_5,EMSD_6,EMSD_7,EMSD_8,EMSD_9,EMSD_10,EMXP_4,EMXP_5,EMXP_6,EMXP_7,EMXP_8,EMXP_9,EMXP_10,EMXT_4,EMXT_5,EMXT_6,EMXT_7,EMXT_8,EMXT_9,EMXT_10,PRCP_4,PRCP_5,PRCP_6,PRCP_7,PRCP_8,PRCP_9,PRCP_10,SNOW_4,SNOW_5,SNOW_6,SNOW_7,SNOW_8,SNOW_9,SNOW_10,TAVG_4,TAVG_5,TAVG_6,TAVG_7,TAVG_8,TAVG_9,TAVG_10,Value
0,2002,ADAMS,11.0,13.5,8.5,6.0,6.5,5.0,6.0,7.0,10.5,4.5,4.0,5.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.05,24.55,23.65,31.0,31.35,36.8,19.950000000000003,30.0,31.1,34.4,36.1,37.2,34.4,29.4,83.25,116.65,43.35,81.45,88.65,76.55,51.150000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,14.8,23.1,25.8,23.9,21.2,11.2,93.7
1,2002,ALLEN,13.0,14.0,11.0,6.0,8.0,6.0,8.0,7.0,12.0,8.0,5.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,46.7,20.1,36.6,23.4,33.3,14.0,30.6,31.1,33.9,34.4,33.9,33.3,28.9,94.0,159.8,79.7,61.1,70.9,64.5,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,13.6,21.8,24.7,22.6,19.7,9.8,116.1
2,2002,BARTHOLOMEW,13.0,13.0,10.0,6.0,9.0,6.0,10.0,11.0,11.0,8.0,3.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.3,70.6,30.5,15.7,19.6,40.9,30.7,29.4,28.3,33.3,34.4,36.7,35.0,29.4,232.0,245.3,102.7,36.7,53.2,119.6,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.4,23.7,25.7,24.9,21.8,12.3,108.2
3,2002,BENTON,9.0,15.0,9.0,8.0,9.0,9.0,6.0,7.0,12.0,9.0,7.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,31.0,17.3,54.4,89.4,10.2,15.2,30.0,28.3,33.9,34.4,33.3,32.2,30.6,96.8,121.6,71.9,146.4,194.0,39.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.5,22.1,23.9,22.0,18.6,10.0,160.1
4,2002,BLACKFORD,12.0,13.0,8.0,5.0,9.0,7.0,5.0,9.0,12.0,4.0,4.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,4.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,51.3,10.9,30.0,34.0,31.8,19.6,29.4,31.7,33.3,35.6,34.4,32.8,29.4,119.7,146.6,34.2,88.1,141.8,73.0,53.1,41.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,14.5,22.6,24.8,23.2,20.0,11.3,101.1
5,2002,BOONE,11.0,14.0,10.5,6.5,8.5,7.5,8.0,10.0,10.5,7.5,4.5,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,14.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,68.6,46.900000000000006,24.65,81.9,46.2,16.9,30.6,32.2,33.9,35.6,33.9,33.3,30.0,132.0,196.95,148.35000000000002,67.95,131.75,96.95,54.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,15.6,23.3,25.1,23.8,20.9,11.9,151.2
6,2002,CARROLL,15.5,14.5,8.5,7.0,9.0,5.5,5.0,8.5,10.5,6.5,6.0,6.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,12.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,18.8,44.1,28.95,40.25,25.55,13.85,30.0,35.0,34.4,36.1,34.4,33.9,31.1,132.3,96.0,103.05,73.25,98.95,37.6,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,15.3,23.6,25.1,23.6,20.7,11.3,155.4
7,2002,CASS,13.0,17.0,8.0,8.0,10.0,8.0,9.0,7.0,11.0,7.0,5.0,7.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3,30.7,9.7,36.3,21.1,25.7,12.7,28.3,27.8,33.9,36.1,33.3,33.9,29.4,114.6,110.3,43.7,104.2,75.8,42.3,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,13.5,22.0,24.9,23.1,20.1,10.5,139.6
8,2002,CLAY,7.0,10.0,10.0,6.0,5.0,5.0,6.0,7.0,10.0,10.0,6.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,53.3,48.3,54.6,13.2,66.0,29.2,27.937871485943774,31.11769103383014,33.59383756464504,33.77224976392824,33.50554997608799,32.618047078306134,28.586175500588933,134.1,164.3,137.8,125.4,43.1,167.1,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.240054489457476,17.020451735615787,22.051781568348733,23.54112458392772,22.79783490224475,19.443138170498084,12.600347919655666,135.6
9,2002,CLINTON,18.0,16.0,10.0,9.0,8.0,8.0,10.0,7.0,12.0,5.0,6.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.4,56.1,54.9,29.2,48.3,39.1,9.9,29.4,31.7,33.9,34.4,33.9,32.8,29.4,164.0,144.1,86.9,84.7,172.1,66.1,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,14.5,22.2,24.4,22.7,19.9,10.6,162.9
