"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2007-04",,,,,,,"9",",0","9",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,30,+","0.0",",,0,30,+","23.1",",,0,04,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85.3",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2007-05",,,,,,,"5",",0","3",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","21.1",",,0,03,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.4",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2007-06",,,,,,,"13",",0","8",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,30,+","0.0",",,0,30,+","31.0",",,0,29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90.6",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2007-07",,,,,,,"6",",0","6",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","24.4",",,0,20,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69.6",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2007-08",,,,,,,"3",",0","3",",0","0",",0","0","1,0",,,,,,,,,,,,,"0",",,0,31,+","0.0","1,,0,31,+","47.8",",,0,30,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87.2",",,,0",,,"0","1,,,0",,,,,,,,,,,,,,,,,,
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2007-09",,,,,,,"4",",0","4",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,30,+","0.0",",,0,30,+","28.2",",,0,27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.6",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2007-04",,,"5.6","0","2.0",",0","11",",0","5",",0","0",",0","0",",0","0",",0","14",",0","0",",0","10",",0","0",",0","-5.6",",0,08,+","0",",,0,30,+","0.0",",,0,30,+","26.9",",,0,25,","27.8",",0,22,",,,,,,,,,,,,,,,,,"304.0",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99.4",",,,0",,,"0",",,,0","8.3",",0","14.1",",,,0","2.4",",,,0",,,,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2007-05",,,"45.7","0","40.1",",0","12",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","2.2",",0,18,","0",",,0,31,+","0.0",",,0,31,+","13.2",",,0,15,","31.7",",0,24,+",,,,,,,,,,,,,,,,,"55.3",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42.7",",,,0",,,"0",",,,0","17.8",",0","25.3",",,,0","10.4",",,,0",,,,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2007-06",,,"146.3","0","100.6",",0","12",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","5",",0","7.2",",0,08,+","0",",,0,30,+","0.0",",,0,30,+","37.3",",,0,19,","33.3",",0,18,+",,,,,,,,,,,,,,,,,"9.7",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77.8",",,,0",,,"0",",,,0","21.4",",0","28.2",",,,0","14.5",",,,0",,,,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2007-07",,,"238.3","0","92.0",",0","10",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","3",",0","10.6",",0,22,","0",",,0,31,+","0.0",",,0,31,+","68.6",",,0,25,","32.8",",0,11,+",,,"1.6","0",,,,,,,,,,,,,"1.6",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"130.2",",,,0",,,"0",",,,0","21.3",",0","27.8",",,,0","14.7",",,,0",,,,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2007-08",,,"385.4","0","147.1",",0","11",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","8",",0","10.6",",0,31,","0",",,0,31,+","0.0",",,0,31,+","61.5",",,0,21,","33.3",",0,09,+",,,"3.5","0",,,,,,,,,,,,,"1.9",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"167.1",",,,0",,,"0",",,,0","23.0",",0","29.1",",,,0","16.9",",,,0",,,,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2007-09",,,"452.1","0","66.7",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","2",",0","4.4",",0,16,","0",",,0,30,+","0.0",",,0,30,+","31.0",",,0,09,","33.3",",0,25,",,,"43.2","0",,,,,,,,,,,,,"39.7",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83.6",",,,0",,,"0",",,,0","19.2",",0","26.4",",,,0","12.1",",,,0",,,,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2007-05",,,,,,,"7",",N","3",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","11.2",",,N,16,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.6",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2007-06",,,,,,,"14",",N","8",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,30,+","17.5",",,N,29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81.6",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2007-07",,,,,,,"9","4,N","5","4,N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,31,+","29.2","4,,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.1","1,a,,N",,,"0","3,,,N",,,,,,,,,,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2007-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49.0","1,a,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INGB0004","OAKLAND CITY 0.4 E, IN US","38.340641","-87.340418","139.3","2007-05",,,,,,,"7",",N","5",",N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,31,+","33.3",",,N,16,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74.3",",,,N",,,"0","2,,,N",,,,,,,,,,,,,,,,,,
"US1INGB0004","OAKLAND CITY 0.4 E, IN US","38.340641","-87.340418","139.3","2007-06",,,,,,,"11","1,N","7","1,N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,30,+","25.1","1,,N,24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75.2","1,,,N",,,"0","1,,,N",,,,,,,,,,,,,,,,,,
"US1INGB0004","OAKLAND CITY 0.4 E, IN US","38.340641","-87.340418","139.3","2007-07",,,,,,,"6",",N","4",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","15.5",",,N,11,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45.8",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INGB0004","OAKLAND CITY 0.4 E, IN US","38.340641","-87.340418","139.3","2007-08",,,,,,,"5",",N","3",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","59.2",",,N,05,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.5",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INGB0004","OAKLAND CITY 0.4 E, IN US","38.340641","-87.340418","139.3","2007-09",,,,,,,"6","1,N","6","1,N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,30,+","30.7","1,,N,27,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99.5","1,,,N",,,"0","1,,,N",,,,,,,,,,,,,,,,,,
"US1INML0006","PLYMOUTH 2.5 WSW, IN US","41.329704","-86.356804","248.1","2007-04",,,,,,,"14",",N","7",",N",,,"1",",N",,,,,,,,,,,,,,,"25.0",",,N,11,","27.4",",,N,26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98.2",",,,N",,,"33",",,,N",,,,,,,,,,,,,,,,,,
"US1INML0006","PLYMOUTH 2.5 WSW, IN US","41.329704","-86.356804","248.1","2007-05",,,,,,,"9",",N","5",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","12.7",",,N,21,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48.7",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INML0006","PLYMOUTH 2.5 WSW, IN US","41.329704","-86.356804","248.1","2007-06",,,,,,,"10",",N","7",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,30,+","18.3",",,N,03,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79.4",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INML0006","PLYMOUTH 2.5 WSW, IN US","41.329704","-86.356804","248.1","2007-07",,,,,,,"10",",N","6",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","38.9",",,N,19,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92.3",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INML0006","PLYMOUTH 2.5 WSW, IN US","41.329704","-86.356804","248.1","2007-08",,,,,,,"15",",N","11",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","59.7",",,N,21,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"223.8",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INML0006","PLYMOUTH 2.5 WSW, IN US","41.329704","-86.356804","248.1","2007-09",,,,,,,"6",",N","3",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,30,+","46.2",",,N,09,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58.2",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INML0003","PLYMOUTH 1.1 SSE, IN US","41.331903","-86.307406","259.1","2007-04",,,,,,,"12",",N","8",",N","1",",N","1",",N",,,,,,,,,,,,,"51",",,N,11,","51.0",",,N,11,","48.5",",,N,25,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131.5",",,,N",,,"69",",,,N",,,,,,,,,,,,,,,,,,
"US1INML0003","PLYMOUTH 1.1 SSE, IN US","41.331903","-86.307406","259.1","2007-05",,,,,,,"8","1,N","6","1,N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,31,+","13.7","1,,N,16,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50.6","1,,,N",,,"0","1,,,N",,,,,,,,,,,,,,,,,,
"US1INML0003","PLYMOUTH 1.1 SSE, IN US","41.331903","-86.307406","259.1","2007-06",,,,,,,"11","1,N","5","1,N","0","1,N","0","1,N",,,,,,,,,,,,,"0","1,,N,30,+","0.0","1,,N,30,+","23.9","1,,N,03,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62.4","1,,,N",,,"0","1,,,N",,,,,,,,,,,,,,,,,,
"US1INML0003","PLYMOUTH 1.1 SSE, IN US","41.331903","-86.307406","259.1","2007-07",,,,,,,"8",",N","6",",N","0","1,N","0",",N",,,,,,,,,,,,,"0","1,,N,31,+","0.0",",,N,31,+","31.8",",,N,19,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87.8",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INML0003","PLYMOUTH 1.1 SSE, IN US","41.331903","-86.307406","259.1","2007-08",,,,,,,"16","1,N","11","1,N","0","1,N","0","1,N",,,,,,,,,,,,,"0","1,,N,31,+","0.0","1,,N,31,+","61.0","1,,N,20,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"247.3","1,,,N",,,"0","1,,,N",,,,,,,,,,,,,,,,,,
"US1INML0003","PLYMOUTH 1.1 SSE, IN US","41.331903","-86.307406","259.1","2007-09",,,,,,,"6",",N","4",",N","0","1,N","0",",N",,,,,,,,,,,,,"0","1,,N,30,+","0.0",",,N,30,+","32.8",",,N,09,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.7",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
