"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"US1INJS0056","RENSSELAER 1.9 N, IN US","40.962393","-87.152687","210.0","2012-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129.0","1,a,,N",,,,,,,,,,,,,,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2012-10",,,"537.9","7","0.9",",7","14",",7","12",",7","0",",7","0",",7","0",",7","6",",7","0",",7","6",",7","0",",7","-1.7",",7,08,","0",",,7,31,+","0.0",",,7,31,+","16.3",",,7,18,","25.6",",7,25,+",,,"349.6","7",,,,,,,,,"259.0",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91.3",",,,7",,,"0",",,,7","10.0",",7","15.6",",,,7","4.4",",,,7",,,,,,,,,,,,
"US1INJS0054","RENSSELAER 4.3 N, IN US","40.99768","-87.161535","209.7","2012-10",,,,,,,"13",",N","9",",N",,,,,,,,,,,,,,,,,,,,,"31.0",",,N,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113.8",",,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2012-10",,,,,,,"10",",N","8",",N",,,,,,,,,,,,,,,,,,,,,"26.2",",,N,02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86.8",",,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INML0006","PLYMOUTH 2.5 WSW, IN US","41.329704","-86.356804","248.1","2012-10",,,,,,,"15",",N","10",",N","0",",N","0",",N",,,,,,,,,,,,,"0",",,N,31,+","0.0",",,N,31,+","21.1",",,N,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97.3",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INFD0002","GALENA 4.3 ENE, IN US","38.380331","-85.870439","285.0","2012-10",,,,,,,"9",",N","7",",N",,,,,,,,,,,,,,,,,,,,,"24.6",",,N,02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83.5",",,,N",,,,,,,,,,,,,,,,,,,,,,
"USC00128723","TERRE HAUTE INDIANA STATE, IN US","39.4708","-87.408","154.5","2012-10",,,,,"2.2",",7","10",",7","6",",7","0",",7","0",",7","0",",7","8",",7","0",",7","12",",7","0",",7","-4.4",",7,10,+","0",",,7,31,+","0.0",",,7,31,+","24.6",",,7,18,","26.7",",7,26,+",,,"304.6","7","15.6","2,,,7,3,2","18.3",",,,7,5,2",,,,,"248.4",",7","20.6","2,,,7,3,2","20.6","2,,,7,5,2",,,,,"2.8","2,,,7,3,2","7.8",",,,7,5,2",,,,,"7.8","2,,,7,3,2","10.6","2,,,7,5,2",,,,,"10.1","2,,,7,3,2","13.2",",,,7,5,2",,,,,,,"14.6","2,,,7,3,2","16.1","2,,,7,5,2",,,,,,,"93.4",",,,7",,,"0",",,,7","10.4",",7","18.4",",,,7","2.4",",,,7",,,,,,,,,,,,
"USC00124244","INDIANA DUNES NATIONAL PARK, IN US","41.63178","-87.08803","208.2","2012-10",,,"554.5","7","2.3",",7","11",",7","9",",7","0",",7","0",",7","0",",7","1",",7","0",",7","3",",7","0",",7","-1.7",",7,08,","0",",,7,31,+","0.0",",,7,31,+","21.3",",,7,14,","26.1",",7,05,",,,"331.8","7",,,,,,,,,"239.6",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94.2",",,,7",,,"0",",,,7","10.7",",7","15.0",",,,7","6.3",",,,7",,,,,,,,,,,,
"US1INGB0009","FRANCISCO 0.1 SE, IN US","38.332965","-87.447337","139.3","2012-10",,,,,,,"11",",N","8",",N",,,,,,,,,,,,,,,,,,,,,"29.0",",,N,06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92.6",",,,N",,,,,,,,,,,,,,,,,,,,,,
"USC00125337","MARION 2 N, IN US","40.58","-85.6586","240.8","2012-10",,,"557.0","7","2.0",",7","15",",7","9",",7","0",",7","0",",7","0",",7","5",",7","0",",7","6",",7","0",",7","-2.2",",7,10,+","0",",,7,31,+","0.0",",,7,31,+","19.3",",,7,24,","25.0",",7,25,+",,,"354.4","7",,,,,,,,,"267.1",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107.4",",,,7",,,"0",",,,7","9.8",",7","15.3",",,,7","4.3",",,,7",,,,,,,,,,,,
