"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"US1INJS0056","RENSSELAER 1.9 N, IN US","40.962393","-87.152687","210.0","2017-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102.1","2,a,,N",,,,,,,,,,,,,,,,,,
"US1INJS0056","RENSSELAER 1.9 N, IN US","40.962393","-87.152687","210.0","2017-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83.1","3,a,,N",,,,,,,,,,,,,,,,,,
"US1INJS0056","RENSSELAER 1.9 N, IN US","40.962393","-87.152687","210.0","2017-09",,,,,,,"5","1,N","2","1,N",,,,,,,,,,,,,,,,,,,,,"21.1","1,,N,19,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.4","1,,,N",,,,,,,,,,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2017-04",,,"3.9","7","3.9",",7","13",",7","8",",7","0",",7","0",",7","0",",7","2",",7","0",",7","13",",7","0",",7","-1.7",",7,08,+","0",",,7,30,+","0.0",",,7,30,+","30.5",",,7,05,","28.9",",7,26,",,,"2785.3","7",,,,,,,,,"182.3",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99.4",",,,7","0",",,,7","12.4",",7","18.6",",,,7","6.2",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2017-05",,,"15.8","7","11.9",",7","16",",7","11",",7","0",",7","0",",7","0",",7","2",",7","0",",7","17",",7","0",",7","-1.1",",7,07,","0",",,7,31,+","0.0",",,7,31,+","40.1",",,7,20,","30.0",",7,18,",,,"2916.6","7",,,,,,,,,"131.3",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"209.1",",,,7","0",",,,7","14.5",",7","20.2",",,,7","8.8",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2017-06",,,"110.0","7","94.2","1,7","12",",7","10",",7","0",",7","0",",7","0","1,7","0","1,7","0",",7","30",",7","2",",7","8.9","1,7,02,+","0",",,7,30,+","0.0",",,7,30,+","57.2",",,7,22,","33.9",",7,13,",,,"2926.9","7",,,,,,,,,"10.3",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"213.5",",,,7","0",",,,7","21.2","1,7","27.4",",,,7","15.0","1,,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2017-07",,,"239.0","7","129.0",",7","13",",7","10",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","0",",7","11.1",",7,08,","0",",,7,31,+","0.0",",,7,31,+","77.0",",,7,07,","31.1",",7,19,",,,"0.6","7",,,,,,,,,"0.6",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"183.5",",,,7","0",",,,7","22.5",",7","28.0",",,,7","17.0",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2017-08",,,"293.7","7","54.7",",7","14",",7","5",",7","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","0",",7","7.8",",7,24,","0",",,7,31,+","0.0",",,7,31,+","18.8",",,7,21,","31.1",",7,18,+",,,"14.8","7",,,,,,,,,"14.2",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71.4",",,,7","0",",,,7","19.6",",7","25.9",",,,7","13.3",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2017-09",,,"355.5","7","61.8",",7","6",",7","6",",7","0",",7","0",",7","0",",7","0",",7","0",",7","20",",7","3",",7","5.0",",7,30,","0",",,7,30,+","0.0",",,7,30,+","16.8",",,7,19,+","33.3",",7,22,",,,"70.6","7",,,,,,,,,"55.8",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.6",",,,7","0",",,,7","18.5",",7","25.0",",,,7","12.1",",,,7",,,,,,,,,,
"US1INJS0054","RENSSELAER 4.3 N, IN US","40.99768","-87.161535","209.7","2017-05",,,,,,,"17","1,N","9","1,N",,,,,,,,,,,,,,,,,,,,,"27.9","1,,N,01,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126.9","1,,,N",,,,,,,,,,,,,,,,,,
