"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2023-10",,,"357.1","H","13.3",",7","14",",7","9",",7","0",",7","0",",7","0",",7","2",",7","0",",7","7",",7","0",",7","-5.0",",7,31,+","0",",,7,31,+","0.0",",,7,31,+","19.1",",,7,28,","30.6",",7,03,",,,"246.4","H",,,,,,,"206.0",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100.4",",,,7","0",",,,7","12.1",",7","18.2",",,,7","6.0",",,,7",,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2023-10",,,,,,,"9","3,N","4","3,N",,,,,,,,,,,,,,,,,,,,,"32.0","3,,N,29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85.9",",a,,N",,,,,,,,,,,,,,,,,,
"US1INML0006","PLYMOUTH 2.5 WSW, IN US","41.329704","-86.356804","248.1","2023-10",,,,,,,"17",",N","9",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","26.4",",,N,06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121.1",",,,N","0",",,,N",,,,,,,,,,,,,,,,
"US1INFD0002","GALENA 4.3 ENE, IN US","38.380331","-85.870439","285.0","2023-10",,,,,,,"11",",N","7",",N",,,,,,,,,,,,,,,,,,,,,"29.0",",,N,30,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76.5",",,,N",,,,,,,,,,,,,,,,,,
"US1INJK0020","SEYMOUR 0.6 SSW, IN US","38.9502489628507","-85.8898082057781","182.6","2023-10",,,,,,,"13",",N","6",",N",,,,,,,,,,,,,,,,,,,,,"25.1",",,N,29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.3",",,,N",,,,,,,,,,,,,,,,,,
"USC00124244","INDIANA DUNES NATIONAL PARK, IN US","41.63178","-87.08803","208.2","2023-10",,,"380.2","H","22.8","1,7",,,,,"0",",7","0",",7","0","1,7","1","1,7","0",",7","8",",7","0",",7","-5.0","1,7,31,","0",",,7,31,+","0.0",",,7,31,+",,,"30.6",",7,04,",,,"219.0","H",,,,,,,"175.6",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145.1",",a,,7","0",",,,7","13.2","1,7","17.8",",,,7","8.6","1,,,7",,,,,,,,,,
"US1INGB0009","FRANCISCO 0.1 SE, IN US","38.332965","-87.447337","139.3","2023-10",,,,,,,"10",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"33.3",",,N,29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61.9",",,,N",,,,,,,,,,,,,,,,,,
"USC00125337","MARION 2 N, IN US","40.58","-85.6586","240.8","2023-10",,,"428.6","7","20.0",",7","13",",7","8",",7","0",",7","0",",7","0",",7","1",",7","0",",7","11",",7","0",",7","-3.9",",7,31,","0",",,7,31,+","0.0",",,7,31,+","34.3",",,7,14,","30.6",",7,04,",,,"198.1","7",,,,,,,"173.2",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135.2",",,,7","0",",,,7","13.4",",7","19.0",",,,7","7.8",",,,7",,,,,,,,,,
"USC00127999","SHELBYVILLE SEWAGE PLANT, IN US","39.5282","-85.7914","229.2","2023-10",,,"455.6","H","14.8",",7","9",",7","6",",7","0",",7","0",",7","0",",7","1",",7","0",",7","14",",7","0",",7","-3.3",",7,31,","0",",,7,31,+","0.0",",,7,31,+","15.5",",,7,29,","30.6",",7,05,",,,"176.7","H",,,,,,,"159.0",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61.5",",,,7","0",",,,7","13.7",",7","19.5",",,,7","7.8",",,,7",,,,,,,,,,
"US1INBL0007","HARTFORD CITY 4.8 NW, IN US","40.5069","-85.4275","270.1","2023-10",,,,,,,"13",",N","9",",N",,,,,,,,,,,,,,,,,,,,,"42.4",",,N,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140.8",",,,N",,,,,,,,,,,,,,,,,,
