Average of TAVG,YEAR_MONTH
11.649999999999995,2022-10
19.015294117647052,2022-09
22.846987951807222,2022-08
24.053658536585356,2022-07
22.327380952380953,2022-06
18.252941176470593,2022-05
9.607058823529409,2022-04
15.702777777777783,2021-10
20.312676056338027,2021-09
23.997222222222213,2021-08
23.19066666666667,2021-07
22.698648648648657,2021-06
15.438356164383558,2021-05
10.993421052631575,2021-04
11.676190476190477,2020-10
18.625581395348835,2020-09
22.415476190476188,2020-08
24.85172413793104,2020-07
22.424999999999997,2020-06
15.445348837209298,2020-05
9.293023255813953,2020-04
13.119540229885054,2019-10
21.60823529411765,2019-09
22.416666666666675,2019-08
24.73777777777778,2019-07
21.079347826086966,2019-06
17.072527472527476,2019-05
11.13763440860215,2019-04
12.719565217391304,2018-10
21.067032967032972,2018-09
23.43186813186813,2018-08
23.510752688172058,2018-07
23.09888888888889,2018-06
20.92934782608695,2018-05
7.163043478260869,2018-04
14.196629213483149,2017-10
19.651136363636365,2017-09
21.124444444444446,2017-08
23.43370786516854,2017-07
21.761956521739133,2017-06
15.964835164835165,2017-05
13.754838709677422,2017-04
15.183720930232557,2016-10
21.119277108433728,2016-09
24.330232558139524,2016-08
23.677906976744197,2016-07
22.65930232558139,2016-06
15.862352941176475,2016-05
10.911764705882353,2016-04
13.10344827586207,2015-10
20.554545454545462,2015-09
21.579545454545453,2015-08
22.69080459770115,2015-07
21.563953488372096,2015-06
18.283146067415736,2015-05
11.471910112359549,2015-04
12.123255813953488,2014-10
17.81279069767442,2014-09
22.529411764705888,2014-08
20.67093023255814,2014-07
22.56321839080459,2014-06
17.222988505747118,2014-05
11.164772727272727,2014-04
12.312087912087913,2013-10
19.421348314606735,2013-09
22.045161290322593,2013-08
22.375,2013-07
21.57741935483872,2013-06
18.035416666666674,2013-05
10.227835051546391,2013-04
11.106930693069309,2012-10
17.888235294117646,2012-09
22.255555555555553,2012-08
26.88431372549018,2012-07
22.06990291262137,2012-06
19.768,2012-05
11.535294117647059,2012-04
12.20588235294118,2011-10
17.686274509803923,2011-09
22.84356435643564,2011-08
26.024752475247535,2011-07
22.37052631578948,2011-06
16.784466019417476,2011-05
11.619999999999997,2011-04
13.279591836734692,2010-10
19.612244897959183,2010-09
24.287755102040823,2010-08
24.666666666666657,2010-07
23.361616161616155,2010-06
17.842,2010-05
14.00714285714286,2010-04
10.2265306122449,2009-10
18.631313131313135,2009-09
21.511578947368434,2009-08
20.651515151515152,2009-07
21.927835051546392,2009-06
16.645360824742266,2009-05
10.73917525773196,2009-04
12.063917525773196,2008-10
19.756122448979575,2008-09
21.755670103092775,2008-08
22.96224489795918,2008-07
22.316666666666666,2008-06
14.522340425531919,2008-05
11.253061224489791,2008-04
15.676344086021503,2007-10
20.655670103092785,2007-09
24.98043478260868,2007-08
22.206521739130437,2007-07
22.38020833333334,2007-06
19.111340206185563,2007-05
9.639795918367344,2007-04
10.670652173913037,2006-10
17.068817204301073,2006-09
23.22608695652174,2006-08
24.199999999999992,2006-07
21.097872340425532,2006-06
15.699999999999998,2006-05
13.226881720430114,2006-04
13.076595744680857,2005-10
20.86,2005-09
24.035164835164828,2005-08
24.0876404494382,2005-07
23.190624999999986,2005-06
15.310752688172041,2005-05
12.364516129032257,2005-04
12.796808510638298,2004-10
19.69897959183673,2004-09
20.498901098901094,2004-08
22.405319148936158,2004-07
20.919587628865976,2004-06
18.922105263157896,2004-05
11.912765957446814,2004-04
11.606521739130438,2003-10
17.580000000000005,2003-09
23.28494623655914,2003-08
22.86413043478261,2003-07
19.582978723404263,2003-06
15.840860215053766,2003-05
11.746808510638298,2003-04
11.385106382978728,2002-10
20.843010752688166,2002-09
23.869565217391308,2002-08
25.038202247191016,2002-07
22.77684210526316,2002-06
14.65111111111112,2002-05
11.778651685393259,2002-04
