,Year,County,DP01_4,DP01_5,DP01_6,DP01_7,DP01_8,DP01_9,DP01_10,DP10_4,DP10_5,DP10_6,DP10_7,DP10_8,DP10_9,DP10_10,DSNW_4,DSNW_5,DSNW_6,DSNW_7,DSNW_8,DSNW_9,DSNW_10,DT00_4,DT00_5,DT00_6,DT00_7,DT00_8,DT00_9,DT00_10,DT32_4,DT32_5,DT32_6,DT32_7,DT32_8,DT32_9,DT32_10,DX32_4,DX32_5,DX32_6,DX32_7,DX32_8,DX32_9,DX32_10,DX70_4,DX70_5,DX70_6,DX70_7,DX70_8,DX70_9,DX70_10,DX90_4,DX90_5,DX90_6,DX90_7,DX90_8,DX90_9,DX90_10,EMNT_4,EMNT_5,EMNT_6,EMNT_7,EMNT_8,EMNT_9,EMNT_10,EMSD_4,EMSD_5,EMSD_6,EMSD_7,EMSD_8,EMSD_9,EMSD_10,EMSN_4,EMSN_5,EMSN_6,EMSN_7,EMSN_8,EMSN_9,EMSN_10,EMXP_4,EMXP_5,EMXP_6,EMXP_7,EMXP_8,EMXP_9,EMXP_10,EMXT_4,EMXT_5,EMXT_6,EMXT_7,EMXT_8,EMXT_9,EMXT_10,PRCP_4,PRCP_5,PRCP_6,PRCP_7,PRCP_8,PRCP_9,PRCP_10,SNOW_4,SNOW_5,SNOW_6,SNOW_7,SNOW_8,SNOW_9,SNOW_10,TAVG_4,TAVG_5,TAVG_6,TAVG_7,TAVG_8,TAVG_9,TAVG_10,TMAX_4,TMAX_5,TMAX_6,TMAX_7,TMAX_8,TMAX_9,TMAX_10,TMIN_4,TMIN_5,TMIN_6,TMIN_7,TMIN_8,TMIN_9,TMIN_10
0,2002,ADAMS,11.0,13.5,8.5,6.0,6.5,5.0,6.0,7.0,10.5,4.5,4.0,5.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,29.0,31.0,31.0,28.0,7.0,0.0,0.0,10.0,17.0,7.0,5.0,0.0,-5.6,-0.6,9.4,12.2,11.7,6.7,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.049999999999997,24.549999999999997,23.650000000000002,31.0,31.349999999999998,36.8,19.950000000000003,30.0,31.1,34.4,36.1,37.2,34.4,29.4,83.25,116.65,43.349999999999994,81.45,88.65,76.55,51.150000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,14.8,23.1,25.8,23.9,21.2,11.2,17.9,20.6,29.0,32.1,29.9,27.9,16.3,6.4,9.0,17.3,19.6,18.1,14.5,6.1
1,2002,ALLEN,13.0,14.0,11.0,6.0,8.0,6.0,8.0,7.0,12.0,8.0,5.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,29.0,31.0,31.0,27.0,5.0,0.0,0.0,6.0,12.0,3.0,3.0,0.0,-3.9,-1.1,8.9,12.2,11.7,4.4,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,46.7,20.1,36.6,23.4,33.3,14.0,30.6,31.1,33.9,34.4,33.9,33.3,28.9,94.0,159.8,79.7,61.1,70.9,64.5,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,13.6,21.8,24.7,22.6,19.7,9.8,16.7,19.5,28.0,31.0,28.1,26.6,15.1,5.7,7.7,15.6,18.4,17.0,12.8,4.5
2,2002,BARTHOLOMEW,13.0,13.0,10.0,6.0,9.0,6.0,10.0,11.0,11.0,8.0,3.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,29.0,31.0,31.0,29.0,8.0,0.0,0.0,8.0,16.0,10.0,7.0,0.0,-1.7,1.1,11.7,14.4,12.8,7.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.3,70.6,30.5,15.7,19.6,40.9,30.7,29.4,28.3,33.3,34.4,36.7,35.0,29.4,232.0,245.3,102.7,36.7,53.2,119.6,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.4,23.7,25.7,24.9,21.8,12.3,19.0,21.4,29.3,31.6,30.7,28.9,17.5,7.0,9.5,18.2,19.9,19.0,14.6,7.0
3,2002,BENTON,9.0,15.0,9.0,8.0,9.0,9.0,6.0,7.0,12.0,9.0,7.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,27.0,31.0,31.0,28.0,9.0,0.0,0.0,8.0,8.0,3.0,1.0,0.0,-7.2,-1.1,9.4,11.7,10.0,2.2,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,31.0,17.3,54.4,89.4,10.2,15.2,30.0,28.3,33.9,34.4,33.3,32.2,30.6,96.8,121.6,71.9,146.4,194.0,39.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.5,22.1,23.9,22.0,18.6,10.0,16.2,19.5,28.4,30.1,27.9,26.2,16.5,3.9,7.4,15.8,17.6,16.2,10.9,3.6
4,2002,BLACKFORD,12.0,13.0,8.0,5.0,9.0,7.0,5.0,9.0,12.0,4.0,4.0,7.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,28.0,30.0,29.0,26.0,6.0,0.0,0.0,8.0,12.0,4.0,3.0,0.0,-5.6,-0.6,8.9,12.2,11.7,5.6,-1.7,25.0,,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,51.3,10.9,30.0,34.0,31.8,19.6,29.4,31.7,33.3,35.6,34.4,32.8,29.4,119.7,146.6,34.2,88.1,141.8,73.0,53.1,41.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,14.5,22.6,24.8,23.2,20.0,11.3,17.3,20.0,28.3,30.9,28.5,26.4,16.1,6.5,9.0,16.9,18.7,17.9,13.6,6.4
5,2002,BOONE,11.0,14.0,10.5,6.5,8.5,7.5,8.0,10.0,10.5,7.5,4.5,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,29.0,31.0,31.0,30.0,9.0,0.0,1.0,9.0,14.0,5.0,3.0,0.0,-4.4,0.0,10.0,11.7,10.6,5.0,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,68.6,46.900000000000006,24.65,81.9,46.2,16.9,30.6,32.2,33.9,35.6,33.9,33.3,30.0,132.0,196.95,148.35000000000002,67.95,131.75,96.95,54.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,15.6,23.3,25.1,23.8,20.9,11.9,18.8,21.6,29.3,31.2,29.6,27.7,17.7,6.9,9.6,17.3,19.0,18.1,14.1,6.1
6,2002,BROWN,10.0,15.0,11.0,7.0,8.0,6.0,12.0,9.0,10.0,6.0,4.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.1,77.0,24.9,17.8,12.2,46.7,29.7,,,,,,,,221.9,278.6,70.4,32.3,38.6,118.4,106.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
7,2002,CARROLL,15.5,14.5,8.5,7.0,9.0,5.5,5.0,8.5,10.5,6.5,6.0,6.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,29.0,29.0,30.0,29.0,9.0,0.0,1.0,11.0,12.0,5.0,4.0,0.0,-3.9,0.6,10.6,11.7,11.7,4.4,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,18.8,44.099999999999994,28.95,40.25,25.549999999999997,13.85,30.0,35.0,34.4,36.1,34.4,33.9,31.1,132.3,96.0,103.05,73.25,98.94999999999999,37.6,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,15.3,23.6,25.1,23.6,20.7,11.3,17.7,21.2,30.0,31.5,29.4,28.1,17.2,6.6,9.3,17.2,18.6,17.9,13.3,5.4
8,2002,CASS,13.0,17.0,8.0,8.0,10.0,8.0,9.0,7.0,11.0,7.0,5.0,7.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,27.0,31.0,31.0,28.0,6.0,0.0,0.0,7.0,9.0,3.0,3.0,0.0,-3.9,1.1,9.4,13.9,12.8,5.0,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3,30.7,9.7,36.3,21.1,25.7,12.7,28.3,27.8,33.9,36.1,33.3,33.9,29.4,114.6,110.3,43.7,104.2,75.8,42.3,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,13.5,22.0,24.9,23.1,20.1,10.5,15.9,19.1,28.1,30.9,28.6,27.1,15.9,4.7,7.9,15.9,18.8,17.6,12.9,5.1
9,2002,CLAY,7.0,10.0,10.0,6.0,5.0,5.0,6.0,7.0,10.0,10.0,6.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,53.3,48.3,54.6,13.2,66.0,29.2,,,,,,,,134.1,164.3,137.8,125.4,43.1,167.1,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
